NUMBER OF CYCLIST KILLED,ON STREET NAME,CRASHES,NUMBER OF PERSONS KILLED,NUMBER OF MOTORIST INJURED,ZIP CODE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF MOTORIST KILLED,CROSS STREET NAME,NUMBER OF PEDESTRIANS KILLED,NUMBER OF PEDESTRIANS INJURED,LATITUDE,NUMBER OF PERSONS INJURED,BOROUGH,OFF STREET NAME,YELP_BAR,YELP_DRINK,YELP_FOOD,YELP_MUSIC,YELP_SHOW,FOUR_SQUARE_DRINK,FOUR_SQUARE_FOOD
0,WEST SIDE HIGHWAY,31,0,1,10036,-73.9981373,0,0,WEST SIDE HIGHWAY,0,0,40.7649043,1,MANHATTAN,,1,1,1,1,2,0,0
0,WEST 13 STREET,31,0,3,10011,-74.00018399999998,1,0,WEST 13 STREET,0,3,40.7378658,7,MANHATTAN,,1,3,6,0,7,0,281
0,NOSTRAND AVENUE,31,0,4,11210,-73.9455181,0,0,NOSTRAND AVENUE,0,5,40.619605299999996,9,BROOKLYN,,0,1,4,0,0,0,0
0,GRAND CONCOURSE,31,0,10,10468,-73.8930012,0,0,EAST 196 STREET,0,6,40.8678804,16,BRONX,,1,0,0,1,0,0,0
0,WEST 55 STREET,31,0,5,10019,-73.9822173,0,0,WEST 55 STREET,0,2,40.7647355,7,MANHATTAN,,8,9,10,2,2,6,2
0,WEST 115 STREET,31,0,15,10026,-73.94697420000001,2,0,EAST 115 STREET,0,3,40.7999615,20,MANHATTAN,,2,0,0,0,2,0,6
0,OVINGTON AVENUE,31,0,7,11209,-74.0238834,1,0,OVINGTON AVENUE,0,0,40.6337239,8,BROOKLYN,,2,1,2,1,1,0,560
0,SOUTHERN BOULEVARD,31,0,6,10459,-73.8917906,1,0,SOUTHERN BOULEVARD,0,1,40.823077399999995,8,BRONX,,0,0,1,0,0,0,24
0,STEINWAY STREET,31,0,10,11105,-73.9082189,2,0,STEINWAY STREET,0,0,40.7710846,12,QUEENS,,2,2,1,2,2,0,0
0,BAY RIDGE PARKWAY,31,0,8,11209,-74.0202788,1,0,BAY RIDGE PARKWAY,0,1,40.6280621,10,BROOKLYN,,0,0,0,1,1,0,0
0,CASTLE HILL AVENUE,31,0,4,10473,-73.84802679999999,0,0,CASTLE HILL AVENUE,0,3,40.8190153,7,BRONX,,0,0,0,0,0,0,0
0,BOOTH STREET,31,0,0,11374,-73.86326020000001,2,0,BOOTH STREET,0,1,40.7286583,3,QUEENS,,1,4,13,0,2,0,495
0,FLATLANDS AVENUE,31,0,4,11236,-73.9162226,0,0,FLATLANDS AVENUE,0,2,40.63360529999999,6,BROOKLYN,,0,0,0,0,0,0,0
0,SCHERMERHORN STREET,31,0,2,11201,-73.9917423,2,0,SCHERMERHORN STREET,0,2,40.6909932,6,BROOKLYN,,4,7,17,2,11,0,235
0,EAST 80 STREET,31,0,7,11234,-73.9195569,0,0,EAST 80 STREET,0,1,40.64118610000001,8,BROOKLYN,,0,0,0,0,0,0,0
0,ASTORIA BOULEVARD,31,0,6,11369,-73.8773073,0,0,ASTORIA BOULEVARD,0,0,40.763345799999996,6,QUEENS,,0,0,0,0,0,0,0
0,KINGSBRIDGE AVENUE,31,0,2,10463,-73.9080239,2,0,KINGSBRIDGE AVENUE,0,2,40.8782876,6,BRONX,,0,0,0,0,0,0,0
0,WEST HOUSTON STREET,31,0,4,10012,-74.0013891,1,0,WEST HOUSTON STREET,0,2,40.727660799999995,7,MANHATTAN,,14,16,17,4,2,0,0
0,WASHINGTON STREET,31,0,3,10004,-74.0156568,0,0,WASHINGTON STREET,0,1,40.7048837,4,MANHATTAN,,1,1,4,1,1,0,14
0,GOWANUS EXPRESSWAY,31,0,6,11232-2400,-74.00710450000003,0,0,,0,0,40.654984999999996,6,KINGS,,0,1,2,1,0,0,0
